,a01,a02,a02agesquared,a03,a04,a05,a05new,a06,a07,a08,a08new,a09,a09new,a10,a10new,address,adr85_19,b01,b02,b03,b04,b05,b06,b07,b08,b09,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,block,c01,c01new,c02,c02new,c03,c04,c04new,c05,c06,c07,c08,c09,c09new,c10,c10new,c11,c11new,c12,c12new,c13,c13new,c14,c14new,d01,d02,daramad,daramad01,daramad02,daramad03,daramad04,daramad05,daramad06,daramad09,daramad10,daramad11,daramad12,daramad16,f_segment,fa_strata_new,fasl,ghazineh,hhold_id,id_hhold_psu,id_tarh,nhazineh,sathezirbana,vgheirehkhorak,vkhorak,weight
53,1,45,2025,1,2,106,5,1,1,7212,7,2811,4,3,3,1000001172,1.02168E+15,1,0,4,16,3,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,80011,4,4,4,4,1,1,1,1,3,3,5,3,2,3,2,5,5,2,2,2,2,6,6,9,184,117214138,72413076,16081062,77417664,0,0,0,0,0,7120000,21600000,7120000,1,1112,1,78334098,5,1,1,78334098,7,63494298,14839800,730.0405556
55,1,43,1849,1,2,522,7,1,1,3114,3,6421,9,3,3,1000001180,1.02168E+15,3,0,4,14,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,80011,4,4,4,4,3,1,1,1,5,5,8,5,5,5,5,8,7,4,4,4,4,8,8,9,184,167712700,102199128,13993572,117253512,0,0,0,0,0,51520000,0,7120000,1,1112,1,115916220,3,1,1,115916220,7,90760620,25155600,730.0405556
57,1,45,2025,1,2,214,6,1,1,9152,9,5219,7,4,5,1000001184,1.02168E+15,3,0,3,13,3,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,4,0,0,0,0,0,14,1,0,24,80011,4,4,3,3,1,1,1,1,5,5,6,5,4,5,4,6,6,4,4,4,4,6,6,9,184,131500000,0,0,0,24000000,0,24000000,0,0,107500000,0,7120000,1,1112,1,103888600,1,1,1,103888600,6,87397000,16491600,730.0405556
58,1,39,1521,1,2,322,7,1,1,7221,7,2812,4,3,3,1000002116,1.02168E+15,1,0,3,12,3,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,70021,4,4,3,3,1,1,1,1,5,5,5,5,5,5,5,5,5,4,4,4,4,6,6,5,184,117680000,71260000,19440000,76000000,0,0,0,0,0,12580000,14400000,12580000,1,1121,2,115661600,5,2,2,115661600,5,93650000,22011600,563.6274844
59,1,43,1849,1,2,317,7,1,1,4134,4,3190,4,4,5,1000002119,1.02168E+15,3,0,3,11,3,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,70021,5,5,4,4,2,1,1,1,7,7,4,7,7,7,7,4,3,6,6,6,6,4,4,5,184,93145004,0,0,0,60020004,13800000,63000000,0,0,19325000,0,15725000,1,1121,2,156830000,4,2,2,156830000,5,147278000,9552000,563.6274844
63,1,46,2116,1,2,214,6,1,1,7212,7,2812,4,3,3,1000003143,1.02168E+15,1,0,5,23,3,4,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,4,0,0,0,0,0,14,1,0,24,70031,5,5,4,4,2,1,1,1,6,6,6,6,5,5,5,6,6,5,5,5,5,7,7,5,184,136370000,73260000,16560000,78000000,0,0,0,0,0,22550000,24000000,22550000,1,1112,3,121195000,5,3,3,121195000,10,90127000,31068000,365.0202778
68,1,40,1600,1,2,512,8,1,1,1100,1,9214,15,3,3,1000004016,1.02168E+15,1,0,4,20,3,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,70040,5,5,4,4,2,1,1,1,8,8,8,8,8,8,8,8,7,7,7,7,7,8,8,6,184,174730008,83752008,37428000,90780000,0,0,0,0,0,27150000,26400000,27150000,2,1112,4,191457000,1,4,3,190457000,10,152499000,38958000,365.0202778
71,1,28,784,1,2,522,7,1,1,5169,5,6421,9,3,3,1000003156,1.02168E+15,3,0,3,16,3,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,70031,2,2,2,2,0,1,1,1,1,2,3,1,1,2,1,3,2,1,1,1,1,3,3,5,184,80080008,52028008,11832000,54100000,0,0,0,0,0,16220000,0,9020000,1,1112,3,61212000,1,3,3,51212000,7,50538000,10674000,365.0202778
72,1,36,1296,1,2,214,6,1,1,7211,7,2722,4,3,3,1000004005,1.02168E+15,1,0,3,12,3,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,839,3,3,3,3,1,1,1,1,6,6,6,6,6,6,6,6,6,5,5,5,5,7,7,4,184,134870000,75260000,25320000,80000000,0,0,0,0,0,16290000,18000000,16290000,2,1112,4,131909000,5,4,3,131909000,5,98585000,33324000,365.0202778
74,1,38,1444,1,2,511,7,1,1,3118,3,2924,4,4,5,1000006006,1.02168E+15,3,0,3,20,3,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,4,0,0,0,0,0,14,1,0,24,859,4,4,2,2,0,2,2,2,8,8,8,8,8,8,7,8,7,7,7,7,7,8,8,4,184,166879996,0,0,0,110239996,25020000,115000000,0,0,31620000,0,12620000,1,1112,2,183120000,5,6,5,183120000,10,133866000,49254000,730.0405556
